Label,BLEU,chrF,COMET
de-es,36.14866686737648,60.66449242217383,85.33908051997423
pt-es,39.07605900676828,63.54204453954778,87.60482946038246
en-da,37.49732968235935,62.78412168600605,90.29563927650452
pt-en,37.206175355919314,61.80118538526612,85.38264641165733
en-fi,24.36939823100834,59.30400416440895,93.18618153035641
it-en,33.20450258765978,59.11644977381161,84.84649465978146
pt-fr,39.05632413699036,63.85148043337819,86.05590775609016
en-pt,34.19596414950691,60.156887359647456,87.34387104213238
sv-da,36.07028851594553,61.52177465561216,90.21843419224024
en-es,41.13749665993079,64.74747891500762,88.10633952915668
nl-el,22.466216291148644,49.2839901074904,87.1574135273695
en-nl,32.20290342196156,59.33410142298564,87.69318725168705
sv-de,30.59111734726719,60.647929035484815,86.39428237080574
el-fi,23.645182594588082,59.17055640792306,91.39836084842682
el-nl,28.52889662335948,57.1249109945438,85.69310518354177
es-sv,30.51263395195027,59.80192896090193,87.84787089377642
de-en,37.68369750381683,61.782173326437075,86.08539512753487
en-sv,32.2515683855786,60.797483477378975,89.89389905333519
en-fr,38.49685057200235,64.28522528079814,87.79184371232986
es-fi,24.89583671962201,59.635551842460764,91.53608018904924
nl-es,29.104524566954176,55.08810661886216,83.52793549001217
es-da,37.06557768554858,62.31931291656812,88.63704920560122
pt-de,30.73888874125209,61.04319317155012,85.87883690744638
el-sv,29.28042186065533,59.11568622223812,89.04206496477127
fi-pt,27.89719650351512,55.731867302439575,86.44510126113892
it-es,34.74979923267425,60.221307177974495,86.86945782601833
sv-it,27.391397622045005,57.072334878766775,86.86611072719097
fr-es,37.7039486878334,62.38082324040839,87.15665316581726
da-it,27.56729966737891,57.39784495269104,86.36169610917568
da-fr,35.6950815675413,61.59857564829975,85.24496058374643
fr-nl,29.00336680550429,56.71856691448107,85.71830306202173
pt-el,28.862887885472137,55.970466076652514,89.45082958042622
es-de,32.86052695892521,62.36606524451148,85.65943251922727
pt-nl,28.687615855491106,56.79186164701865,85.24905906617641
fi-el,26.102923821017917,53.19723681075573,89.68788078427315
de-da,34.97438143054963,60.551191101410204,89.02560311555862
el-fr,37.261931972873796,63.41971399113603,86.34305591881275
en-it,29.162392605010123,59.32784609169249,88.02980102598667
en-el,31.901895715492863,57.5487942950599,91.26048858463764
fr-fi,22.997571845863888,58.393722410839466,91.49323873221874
de-it,27.18665113903418,56.638186491081974,85.5087053924799
fi-es,32.03020047275304,58.293045231238075,86.38052331656218
fr-it,28.7889797314538,58.78568429278798,87.93598414212465
sv-es,34.96089524610674,60.14555282673623,85.66984852403402
fi-fr,32.50616183272121,59.97162540137854,86.79962527751923
nl-pt,26.387243417133668,53.69862851402851,83.72707960754633
nl-fr,29.80866000833105,56.285039212019896,83.44881038367748
da-de,34.06069128304678,62.410104445815094,87.75256131589413
de-sv,29.99697480509789,59.15609597137899,88.95485427975655
nl-da,28.717134579940684,55.18875015644152,87.94299855828285
it-pt,29.982963067351253,56.79821128090927,86.36490534245968
it-de,26.528496582318667,56.45887991173064,84.86936081200838
da-en,40.89269014643669,63.89857118241924,86.68762220442295
nl-sv,23.57464156184817,53.98359029016846,86.840954862535
el-da,34.40131860982505,60.90408473070297,89.08693747222424
it-sv,24.206839514714794,54.8979438353084,87.75839675217867
it-nl,26.3387692014014,55.22137126688741,85.08121865987778
es-fr,39.91220541501389,64.85493906750133,86.35485772788525
pt-it,28.814820754131865,58.73866915439538,87.33279393613338
fr-en,38.30854434425109,62.829230779518106,86.09272296726704
en-de,32.54746897306618,61.827347412694614,87.92495255172253
fi-de,28.696167301355167,58.90466750799963,86.68714918196201
es-nl,30.271553035710795,57.64925717646027,85.31391044706106
nl-fi,19.464108915212975,53.758321973417736,90.43516562879086
fr-de,30.348471081288828,61.38559360115011,86.23386672139168
da-el,28.73954655525861,55.275676972278596,89.32612949609756
de-el,26.949963854458257,54.032105823623056,88.92470413446426
nl-en,31.239803306485463,56.73403039915499,84.4298565685749
fr-da,32.87180521194299,59.52418752897694,88.25870781391859
pt-fi,23.158269389650943,57.879771273243776,91.19564262032509
fi-sv,26.50449356168333,56.88760590578548,89.26868129521608
de-fi,24.58624963633399,58.34517097625643,90.79567262530327
sv-en,39.8606782790255,63.69271988573909,86.57975934445858
nl-de,25.253817037028245,54.87659826033917,85.49018628895283
de-fr,37.80465341371331,63.365349167029784,85.67503975331783
sv-pt,31.222713323062152,58.014357779901005,85.96371033787727
es-en,43.2742935640392,66.34149700989387,86.24395380914211
sv-fi,22.44750726871901,57.06193363280223,91.14168958365917
fi-nl,26.955631319942512,55.23405700669935,86.96578979492188
es-pt,35.80915747504449,61.54769165157058,87.51502813398838
de-nl,28.33988671191992,56.335146430677426,86.75367605686188
fi-it,24.320832205651058,55.37997348057754,86.79402287304401
nl-it,23.729883013474183,54.193039542049036,85.3069448620081
sv-fr,34.81193817901884,61.17057208927811,85.3007095977664
pt-sv,27.938150203179237,57.9737091895914,88.06325120478868
fr-el,28.348205431369557,54.94119576655795,89.57009017467499
es-it,30.341695464829872,59.97802900074854,87.98358158767223
it-da,29.072911748966916,56.52201025117791,87.46686427295208
it-fr,33.32004581170699,60.475429893192555,86.3565051406622
el-es,38.186257048328706,62.903074952076324,86.76800106465816
it-el,26.115183810129146,53.336320852395545,89.49749165773392
fi-da,32.6232805913045,58.998924528566135,89.84253096580505
de-pt,30.970712483996827,57.311589004420405,85.24406991153955
da-fi,25.503814937798108,59.0366073930656,91.65195283293724
da-sv,31.234541702203376,60.26351884066092,89.8947735875845
sv-el,28.030284154777334,54.88792316080786,90.00190787017345
el-it,28.69100470179209,58.52123020325588,87.59406633675098
it-fi,19.83369110498071,55.04998484420148,90.73000808060169
fi-en,35.48829974263751,60.2097186350415,88.01083894819021
da-nl,30.864241133309896,58.32961053695337,86.88266751170158
el-pt,34.26269889392885,60.25270773816932,86.60471318662167
fr-sv,28.527831711180045,58.319095890235275,87.86845372617245
sv-nl,29.281129342664922,56.96685601697211,85.85025332868099
da-es,37.117351738352504,61.80483144417068,86.29400733858347
el-de,29.992629891097376,61.12701089470303,86.41313736140728
el-en,39.02013829545788,63.7109498298409,86.69721788167953
