Label,BLEU,chrF,COMET
nl-el,21.46406568316484,48.6361526927967,87.55510997027159
en-de,27.088721944019778,58.30935577144297,87.3743204921484
fi-it,22.024560380435094,54.14725818276811,87.56198568392526
pt-el,28.75130900661551,56.53742872722239,89.81765328347683
fr-nl,27.220359000226225,56.128865415076454,85.87075136601925
fi-pt,24.91729459476895,54.1401458211242,86.47358816117048
it-en,29.144335615956095,57.07379077990195,84.44635951519012
da-de,34.05220657827739,63.10161846745002,88.17311254143715
nl-en,29.69393780915296,56.232486378764214,84.47070814669132
pt-de,28.399012175458218,60.42673756599988,85.96312005072832
nl-de,22.56298590856826,53.91266922183205,85.48210752755404
en-fi,18.983600035991664,55.11494746433381,92.74087650349519
de-en,32.61518409570206,59.26927748215392,85.83079220982373
fr-en,33.89269339080376,60.61240405754391,85.7187360972166
es-it,28.261688116762247,58.22996282038486,87.2699399292469
it-el,24.644441483296227,52.90181417110848,89.60587252676487
it-fi,15.083128769750882,51.967294216673174,90.21698357183722
pt-es,35.746316754130646,63.46122091126233,87.4702684879303
fi-de,26.40335048917096,58.11701828366173,86.94465736299753
de-es,34.40574046910362,60.05390667262489,85.23731433600187
de-da,34.49649539867394,60.963243366346674,89.68962541222572
sv-pt,25.225470486290774,54.780163625169976,85.70261516422033
en-nl,27.868022446316086,56.99455928393885,87.16294620931149
fi-fr,30.513101100405404,59.23735504893221,86.95007292926311
en-es,36.72121720865779,62.623768256043846,87.70963659882545
da-nl,26.493696489226185,56.25862439308141,86.92690178751945
en-fr,33.20795093754573,61.09251635258776,87.40726493299007
da-fr,31.86284543503208,59.85985607137323,85.5570087581873
pt-nl,25.96131628536167,55.625737094666995,85.19617177546024
da-el,27.403131020989914,54.36987097786151,89.50874762237072
nl-fr,26.946022224740087,54.97433104186194,83.86453749984503
es-de,32.385555711784846,62.46996357379587,86.0038548745215
pt-fi,18.495255798704214,53.67432718047059,90.77645104838258
da-en,34.26575777834876,60.811370659340746,86.3667161166668
es-nl,27.348489111000116,56.493838388481535,85.30808513677573
de-nl,25.314172520590834,54.67395952204384,86.24405090510845
es-fi,19.21194078359911,54.728078627300434,90.96353961527348
es-en,36.493096981698734,62.820176364929694,85.78043279779948
da-fi,21.559751716183133,56.211525289408435,91.14717410504818
el-en,34.10831677377479,61.50316450678508,86.66039662063122
el-fi,19.81619782649713,55.822753864257656,90.21546123921871
de-pt,27.390053299536476,54.75387228757525,84.61509845405817
sv-en,33.80947270581012,60.639145251486056,86.0773002281785
it-fr,28.64636447266793,58.2113969323508,86.29127807915211
el-fr,36.058423313633156,63.24690674063841,86.40258258581161
fi-el,22.939203702917837,51.034391225778876,89.67138467729092
da-sv,29.329500557195814,59.084340336020034,90.02596977353096
it-sv,21.7341944002217,53.94283972295767,87.82176095992327
fi-da,28.984256358891386,58.156036711149575,89.77741712331772
en-sv,27.72070896361363,58.06046331386761,89.65802310407162
it-nl,23.233386050535877,54.456567865574115,85.0871029868722
sv-it,25.00110116748783,55.96806384397029,87.01992550492287
da-pt,26.156094816126533,54.65058822378403,85.18512783944607
de-it,24.302457031725986,54.08144986992277,85.26490852981806
es-el,30.406653600175968,57.632084947974015,89.98085200032101
it-es,31.736969311555914,59.395251867141475,86.84239296615124
nl-it,22.018027827067133,53.36126276658849,85.73664718866348
de-fi,20.382731171161716,54.635433381143685,90.66560676860325
el-nl,25.01885506727986,55.615765245398805,85.5498425945451
da-es,33.45015942480742,60.48029634424334,86.16712042689323
pt-en,33.0784985396736,59.84100728920703,85.25229692459106
sv-nl,24.14909183387005,54.85654380157487,85.73461842536926
fi-es,29.77786422434022,57.89144806370417,86.85414003580809
fi-sv,24.411379920924638,56.22611068796084,89.59598600119352
sv-fi,19.018249394782753,54.922001000415534,91.07968735362067
en-el,28.5404159965512,55.179981538819355,90.81249922513962
fr-fi,18.709931483403903,54.93158142341578,91.26502820849419
fr-el,28.0570272276048,55.50196148086596,89.926388412714
it-de,22.830478310809063,54.86958314623111,84.46835895627737
el-pt,29.987618997835135,57.96474081182161,86.31995785236359
sv-el,24.686280627200993,53.02686807752319,90.1223549246788
fi-nl,22.120703643113835,53.380605238161706,87.16458738604679
fr-it,27.078451269668815,58.05528169072139,87.54511351883411
nl-sv,22.578141223324288,53.33953136108845,87.32474768161774
nl-da,28.484462739435106,55.38655006661729,88.38191932439804
it-pt,25.929820938156315,55.21220770116292,85.98561316728592
pt-da,32.53588404857237,59.42912232661492,88.66089801490307
pt-it,25.77190301293807,58.27437215325971,87.49477323889732
nl-pt,22.855778142288486,50.95334937535102,83.55297702550888
nl-fi,16.06846870861137,51.107225463309526,90.32816633582115
el-de,27.909468360928592,60.076688692646975,86.15073183178902
nl-es,27.445810127766222,54.94436369699185,84.13766145706177
en-pt,23.898660906925144,53.31848607978554,85.48084910213947
el-sv,27.174453247463457,58.255094517297266,89.49515776336193
el-it,25.871846508542514,57.39000957482377,87.53167855920213
fr-sv,27.204276042363738,57.43922654269328,88.27507735788822
de-el,23.401336119141796,50.92986565501643,88.56253165006638
es-da,36.41603774454008,61.96043107552228,89.05451959371567
fr-pt,27.38379693689822,56.324252510435215,85.83833481371403
fi-en,31.80530511284869,58.532250210652315,87.9073348864913
fr-de,28.89054234538259,60.07475110887746,86.38983577489853
pt-sv,24.433564583440653,55.77910930673753,88.27924098074436
en-it,27.096256327915214,57.74327546476439,87.60979445278645
de-fr,31.288818504213022,59.46438121135903,85.34031383693218
pt-fr,33.79727276071931,62.575810716222904,86.2747651040554
da-it,24.794659838043174,55.44263432891824,86.18617218100664
es-pt,32.15060096703457,59.3497231506515,87.1966468244791
es-sv,28.04730729891463,57.92792352427523,88.0133899897337
en-da,34.598923583194974,61.08908192824731,90.02816705405712
es-fr,35.95266556481712,63.11583045549486,86.92706213891506
fr-es,37.49636623211035,63.061235728654694,87.20733413100243
sv-es,32.3720337706934,59.606761963819096,85.68677166849375
sv-de,27.881856921330833,59.59687413968959,87.41410744190216
el-es,37.58139415336123,63.59556665863503,86.96318717300892
sv-fr,30.592760178733915,59.53850655718064,85.47852627933025
it-da,26.915048445732943,56.017736475067494,87.89955167472363
sv-da,33.09701955266675,61.66924271482821,90.63760785758495
fr-da,33.00770052991709,59.96782855560608,88.51894289255142
de-sv,27.25131874158379,57.48022175806218,89.48301713168621
el-da,32.52891361755965,60.262632158175734,89.06319697201252
