Label,BLEU,chrF,COMET
nl-es,23.130397684528116,50.08421735711154,84.00504188984632
sv-nl,28.536071162275388,57.9071327222876,87.70183143764734
pt-en,53.701485336887515,74.55659996919759,90.58234715461731
en-nl,32.37245706494853,61.21157350641353,89.04396222531796
fr-fi,24.930214603470606,59.19983785405606,91.96512986719608
da-nl,29.34909929269656,58.84627737024219,88.11096984893084
da-el,27.097077397120675,53.56683159270459,89.42825335264206
nl-de,29.895214216086742,58.27858085924491,87.22090277075768
en-fr,52.41387955972797,72.43753043861571,89.66738307476044
da-de,37.903018935264065,64.23223197862603,88.41723610460758
sv-el,26.767541311963523,53.17361658621677,89.44463843107224
el-it,27.993972299261184,56.64076997092994,87.57375173270702
de-sv,37.334801021040185,64.49325870496101,91.026615858078
es-en,35.79368370955154,63.63972010627372,88.36156029999256
el-nl,24.619948808069957,55.00588698049758,86.07535018026829
it-de,29.542371080879192,58.31521421682426,86.66395607590675
pt-fr,44.19264179098144,67.11077793430857,88.33048294484615
nl-fi,21.546739304386413,56.79012442708002,90.95921829342842
fr-en,49.22721974280475,71.54393280046378,90.09216947853565
fr-el,25.439196723183535,52.474449873170045,89.24885059893131
fi-es,21.445343436058092,50.018326299655726,86.47069858014584
da-fr,44.50900771261168,67.30051485152589,87.58025686442852
pt-el,26.289706060206555,53.09130310254352,89.40403088927269
sv-it,31.130778403124282,59.23213959972535,88.65640297532082
sv-en,53.61012901193646,74.33098465409141,90.8391395509243
sv-fi,25.597836710427448,60.60247853684405,92.37541519105434
fi-fr,36.970522959044615,62.25790203251126,87.82005093991756
el-pt,29.797410791786206,57.6762357626855,86.95152051746845
nl-it,26.154071610983316,55.362465153748076,86.88574621081352
da-sv,39.809583053056485,66.39825135531761,91.65482623875141
fr-it,30.602561872910723,59.05979117899053,89.11922208964825
es-it,27.18644205569712,56.84995769381052,88.51879106462002
fi-el,21.963779693198276,49.504108559095485,89.2128649353981
fi-de,30.691418168962315,58.903887930565546,87.76031358540058
es-el,20.553340577336026,48.726380441185924,88.29639779031277
pt-fi,24.627075458141633,59.0551588258006,92.00134743750095
fi-it,26.393041971707447,55.90385860199305,88.77285826206207
fr-de,34.55112974804819,62.229643942469195,86.92488914728165
pt-de,36.61631080278295,63.14189387080212,87.31901393085718
en-da,50.61094748933947,71.82258033958308,92.32503342628479
pt-sv,37.07558092538225,64.43340623198436,90.60697335004807
it-da,31.286225008550264,59.613929338599355,89.79142202436924
sv-pt,34.9773514017618,60.92900237282609,88.10376384854317
it-el,22.166463429460304,49.995168514116436,89.06772002577782
en-el,30.64481159302654,56.740625104553224,90.60062818229198
en-de,44.39383278071737,68.28617191578647,89.32145135104656
sv-es,25.55994558611415,52.50298954915724,85.7529454678297
nl-pt,27.54038061197543,55.303009823133124,85.84091190993786
en-es,28.7421676967561,55.50555206497387,86.91226477921009
sv-fr,44.96636996370321,67.09154992870069,87.56898175179958
es-da,30.37623078615593,58.40866197993814,89.17472660541534
en-sv,47.076801514190066,71.33405422591429,92.24494951963425
en-fi,29.7750685318051,63.02593227429602,93.57196429371834
nl-fr,35.00947702797529,60.81820411570958,86.07661792635918
nl-el,20.48211763402622,48.15198861816538,87.33097273856401
fi-da,33.17410646471886,59.99270058148083,90.7914306819439
fr-da,38.41685600868511,64.04054431200846,90.05118571221828
it-sv,29.05266046151115,59.45682657135192,89.76135538518429
fi-sv,30.1166504944105,59.62469642227162,90.86946494877338
es-fi,19.905014609326876,55.81608948228601,91.24369105696678
de-pt,33.32566115458266,60.218455329942024,87.41190353780985
it-es,24.237860967811894,52.11269546945323,86.41696952283382
pt-es,25.88309240937245,53.15410984177823,86.76848861575127
sv-de,37.518876704284125,63.29936670529981,88.36709189414978
el-da,34.58340374704937,60.690554634024906,89.20114488899708
es-de,27.61803064340313,57.01645926709177,85.76426403224468
da-it,30.974264066946343,59.50374413182943,88.53248880803585
fr-nl,27.320815853950982,56.972790908488534,87.15432606637478
el-fr,38.63548969684878,62.75413567759907,86.57710790634155
da-es,26.36363930725614,53.30465254569262,86.06459884345531
es-nl,24.408719675943747,54.783734873684466,86.36085467040539
it-en,37.34833413883491,65.03766459149978,88.87523491680622
pt-it,31.002993953998732,59.56826497424327,89.35321719944477
it-fr,36.91737036547038,62.56941191067109,87.77748399972916
de-fi,25.86414525599316,60.114993757547175,91.83301584422588
de-es,24.872797040870985,52.18593212864122,85.10124903917313
es-sv,27.571088599508755,57.83456320315361,89.00811231136322
el-sv,31.002460539245075,59.91659836993536,89.22743882238865
de-nl,28.574291224242685,58.36222992840445,88.50197135657072
nl-da,31.39327582129465,59.131259288928504,89.44091568887234
el-fi,21.63419984167781,57.164911844358166,90.78610716760159
fi-nl,24.79070390118476,55.39185428682502,87.96308255940676
de-da,41.11084144245304,65.45929715085688,91.1586444452405
nl-sv,28.197053176612467,58.48910781694848,88.97923047095537
de-el,25.417726775317924,52.22879996542438,88.75622445344925
fr-sv,35.32209135127486,63.1499732240919,89.80600690841675
da-fi,26.373986956911295,60.72330283760008,92.45266099274158
de-fr,41.51098240758495,65.3561838985263,87.14354813098907
it-fi,20.62506636279511,56.63373455858066,91.45875695347786
pt-nl,27.102937119581817,57.05462102960688,87.25561735033989
fr-pt,33.634741425314374,60.23175258339886,88.00359047949314
sv-da,43.06670984895605,66.73070214700569,91.6703969836235
nl-en,36.49095121943854,63.8117484849632,88.19920527935028
es-fr,35.59361632508074,61.14349292975706,86.65337574481964
es-pt,27.168135610641524,55.763891387953294,87.5657132267952
de-en,49.23013786630629,72.141299190807,90.27385644614697
da-en,54.799530417265686,75.29554272975821,91.0443747639656
pt-da,39.72365444422841,65.08770007869288,90.80633774399757
el-de,31.615393943240722,59.36724417441113,86.15772095322609
it-pt,27.824569215656027,56.7110933291358,87.99946366250515
it-nl,23.889912965098265,55.01771551927636,86.62669294327497
fi-pt,27.87987493367138,56.10619982869069,87.9428147226572
fi-en,38.213988758532466,64.43176436647165,90.6009800285101
en-it,34.821375998576585,62.62445225662808,89.77150554955006
fr-es,26.08995581579872,53.180827854997816,86.21490056812763
el-es,24.53460490733885,51.2864117637242,85.29300674796104
en-pt,42.252637587693826,66.51564798837721,89.35958358645439
da-pt,34.96004388966506,61.28746801825887,88.19428515015987
de-it,30.705397755405478,59.11065633477596,88.2982846647501
el-en,41.84936904281006,67.08944715647452,88.86475650966167
