Label,BLEU,chrF,COMET
pt-nl,27.57662194131473,57.835122656105455,87.52002234756947
fr-en,49.69684195137147,71.9325374979775,90.25718683004379
fi-de,29.987001980735606,58.98972516118708,88.20539574325085
it-fr,33.34846518618481,60.851309795654764,87.38608630001545
nl-el,18.98024781020064,46.76109458440212,87.29395717382431
pt-el,24.175947844230823,50.96517348853381,88.88953655958176
es-fi,19.249953907553543,55.10622958250278,91.15452052652836
sv-nl,28.040791743767414,58.18079950584772,87.79571820050478
fi-es,22.852030753218354,51.088287343369245,86.87903636693954
da-it,29.57951432731664,58.478603863002164,88.32170490920544
pt-sv,36.774190249967454,64.04761375547979,90.70479902625084
el-sv,32.38102319292307,60.42672521489722,89.68063442409039
it-el,21.10223576811498,48.97553197262121,88.74882981181145
it-da,29.48884624394942,58.38899786090125,89.48944149911404
it-es,22.636274325759338,51.64344553270919,85.93244053423405
pt-en,55.54505517939692,75.49218404018818,90.87980230152607
pt-de,36.787978507772344,63.210753101869166,87.3958984464407
fi-en,39.66020392610423,65.79128347174819,91.01956397294998
es-pt,24.278693425396728,54.95131233330548,87.94960828125477
da-en,51.678228670274564,74.55116006900734,91.02968840301037
nl-en,36.99105522640616,64.49189433367054,88.61883860826492
de-nl,28.88178072640398,58.73785358545206,88.44406982511282
nl-fi,18.381937288739827,54.698642853954205,90.62124729156494
de-es,26.09496982183532,52.9071306451054,85.29283447563648
da-fr,43.61707468049927,66.97902275176884,87.61070597171783
fi-fr,36.19627395759656,61.95497168548641,88.31873098015785
es-sv,27.26313269420669,57.60615907506518,89.00770199298859
da-pt,42.01516478751264,65.16971096217551,89.6055296510458
sv-el,24.861579230287955,51.54765873078573,89.08944924175739
it-fi,20.8523459871046,55.95349051116624,91.30747167766094
fr-es,26.655845595873743,53.97745972256437,86.47984147071838
en-el,29.047136025747186,55.228015326677124,90.3882622718811
da-es,26.773881784781658,53.814793308873256,86.07728759944439
fi-pt,32.26625014586176,59.12557684878939,89.35227000713348
es-en,35.98561313413101,63.9828052013398,88.47052109241486
sv-pt,41.70502419329729,64.90154186902572,89.20107516646385
en-pt,51.370511954611906,72.09179451262034,90.72433932125568
en-fi,29.36792034215523,62.4407078826575,93.40387783944607
it-nl,23.42643791616796,55.69146161726378,86.85010223835707
nl-pt,30.540324821309976,58.250315301476604,87.37466350197792
el-en,43.56530609823685,68.19220585863232,89.57201500236988
fr-nl,26.660309194905114,57.44113270615443,87.49514501541853
pt-es,25.341997983919256,52.836499056697626,86.63675600290298
el-da,34.77340315789733,61.03502200766366,89.71972039341927
sv-es,26.284242565925275,53.243291535090044,85.80430036783218
fi-it,25.794782435380856,55.60957421286633,88.924121722579
