Label,BLEU,chrF,COMET
fi-en,32.57203380711056,50.90294324142707,79.6356487646699
it-en,37.839587439536054,58.351015551820595,82.40168108046055
en-fi,25.138151533424438,55.83882855317411,83.86034985631704
el-en,34.65736586590157,55.424875024881004,81.60878500342369
en-sv,34.0412442424174,60.783735589334654,82.57719324529171
en-it,34.19816906142303,58.27664086724198,82.39148830622435
en-fr,40.30864375121718,63.22562284095971,81.06481723487377
fr-en,41.57299643017993,63.49138075005726,82.90383909642696
en-es,39.98642574186635,62.2926428160537,82.8599545583129
en-da,38.85667292298236,63.75433033270177,85.33443947136402
pt-en,40.15885289580548,60.75010028698951,83.47794569283724
da-en,40.481974454773045,61.541698976096704,83.59948913753033
sv-en,36.11612096825786,57.276781610968456,80.99771887809038
en-nl,32.199951267176075,55.98310378667082,81.1875224635005
de-en,36.40688217969452,57.679003798661284,81.45139184594154
en-pt,34.281772428498925,58.6876603318266,82.3886307105422
es-en,44.77857717033263,65.06588901330706,84.42909011244774
en-de,32.448391017464935,55.652108820185106,80.90846425294876
nl-en,33.96672395122083,54.65322467710448,79.9303841367364
en-el,29.324272774494823,54.09400361878289,84.61976756155491
