Label,BLEU,chrF,COMET
fr-en,39.515842972669056,62.198331825520484,83.02347051352262
en-el,28.44781668263203,52.420704757913114,84.11904568225145
fi-en,31.019250674744164,50.67010572120266,79.92840276658535
el-en,33.19229876631784,54.43151581527489,82.30568892508745
pt-en,37.69407126975156,59.38023399006762,83.89464359730482
es-en,43.10430025243696,63.976861765137,84.55484168231487
en-da,35.49045281187431,61.3098570502982,84.76875618845224
sv-en,34.22000979595269,56.37443635568149,81.19036207348108
en-fi,20.24798505187473,51.41751278892121,83.37389977276325
da-en,37.54064296408391,59.71275717449187,83.65445104986429
it-en,36.83260424981307,57.883906394717464,82.81728972494602
nl-en,31.038193897983074,53.108779206301904,80.87287762761116
en-de,30.984189999273994,54.526790956335816,80.98096865415573
en-nl,30.379753440206564,54.97714399319062,81.48383106291294
en-es,39.29445637828841,61.691253839539286,83.21322737634182
de-en,35.06004785782801,57.333422206937314,81.59852648774782
en-sv,30.547283542676745,58.33456903160437,82.32543485611677
en-fr,35.99483206598813,60.72854551884289,81.49482455477118
en-pt,29.557788068655523,55.33926512785891,82.48608278483152
en-it,32.2604012760301,57.12556510056227,82.71029955148697
