Label,BLEU,chrF,BERT-F1,COMET
da-de,34.05220657827739,63.10161846745002,87.57031,88.17311254143715
da-el,27.403131020989917,54.36987097786151,85.33995,89.50874762237072
da-en,34.26575777834876,60.811370659340746,88.48488,86.3667161166668
da-es,33.45015942480742,60.48029634424334,87.60773,86.16712042689323
da-fi,21.559751716183133,56.21152528940844,84.704254,91.14717410504818
da-fr,31.86284543503208,59.85985607137323,86.02408,85.5570087581873
da-it,24.794659838043174,55.44263432891824,84.18055,86.18617218100664
da-nl,26.493696489226185,56.25862439308141,84.8432,86.92690178751945
da-pt,26.156094816126533,54.65058822378403,85.323944,85.18512783944607
da-sv,29.32950055719581,59.084340336020034,86.56479,90.02596977353096
de-da,34.49649539867394,60.963243366346674,87.3864,89.68962541222572
de-el,23.4013361191418,50.92986565501643,84.1807,88.56253165006638
de-en,32.61518409570206,59.26927748215392,87.70077,85.83079220982373
de-es,34.40574046910362,60.05390667262489,86.96981,85.23731433600187
de-fi,20.38273117116172,54.635433381143685,84.0728,90.66560676860324
de-fr,31.288818504213022,59.46438121135903,85.45814,85.34031383693218
de-it,24.302457031725982,54.08144986992277,83.03392,85.26490852981806
de-nl,25.314172520590837,54.67395952204384,83.73836,86.24405090510845
de-pt,27.39005329953648,54.75387228757525,85.061874,84.61509845405817
de-sv,27.25131874158379,57.48022175806218,86.52692,89.48301713168621
el-da,32.52891361755965,60.26263215817573,86.62122,89.06319697201252
el-de,27.909468360928592,60.076688692646975,85.60163,86.15073183178902
el-en,34.10831677377479,61.50316450678508,88.15502,86.66039662063122
el-es,37.58139415336123,63.59556665863503,88.00008,86.96318717300892
el-fi,19.81619782649713,55.822753864257656,83.98012,90.21546123921873
el-fr,36.05842331363316,63.24690674063841,87.64334,86.40258258581161
el-it,25.871846508542514,57.39000957482377,84.68697,87.53167855920213
el-nl,25.01885506727986,55.615765245398805,83.97949,85.5498425945451
el-pt,29.98761899783513,57.96474081182161,86.1243,86.31995785236359
el-sv,27.174453247463457,58.25509451729727,85.98744,89.49515776336193
en-da,34.598923583194974,61.08908192824731,86.99877,90.02816705405712
