Label,BLEU,chrF
da-de,38.86372343807158,64.65359210992393
da-el,25.17720383640351,51.973855674724035
da-en,51.67822867027454,74.55116006900734
da-es,26.773881784781647,53.814793308873256
da-fi,25.40395065303987,59.834235328026494
da-fr,43.61707468049927,66.97902275176884
da-it,29.579514327316627,58.478603863002164
da-nl,28.913497392906844,58.834710867615804
da-pt,42.01516478751266,65.16971096217551
da-sv,38.96863995130944,66.17568215998023
de-da,38.6912210193327,63.78995964896711
de-el,24.689201897862443,51.042903106298574
de-en,48.81194478027725,71.9351961066504
de-es,26.09496982183532,52.9071306451054
de-fi,25.57226913588357,59.18190836810025
de-fr,40.47098565423577,64.78391406866965
de-it,29.158139984053985,58.2472489455103
de-nl,28.88178072640398,58.73785358545206
de-pt,38.349227125282674,63.45177519831279
de-sv,36.04433060268466,63.50453466273016
el-da,34.77340315789733,61.03502200766366
el-de,32.386091017439206,60.10074773159272
el-en,43.565306098236874,68.19220585863232
el-es,25.1883045544156,52.65992097022588
el-fi,22.467561938071764,57.20818514161559
el-fr,39.095590078592075,63.38784596898181
el-it,25.62459498147236,56.1555197799747
el-nl,26.445648928496386,56.486846363333335
el-pt,35.88901312145154,61.10710637750005
el-sv,32.38102319292307,60.42672521489722
en-da,49.25266328260636,71.4428585199926
en-de,43.61430753876413,67.99867454933982
en-el,29.047136025747186,55.228015326677124
en-es,29.18418203838658,56.26959084221303
en-fi,29.36792034215523,62.4407078826575
en-fr,51.949974651311905,71.79601801724161
en-it,32.68649103010715,61.69027423563883
en-nl,30.93016521297787,61.12872616329834
en-pt,51.370511954611885,72.09179451262034
en-sv,46.35155414198255,70.6160031718856
es-da,28.6402570464069,57.52893371613577
es-de,28.287042681412238,57.258402053455335
es-el,19.83644299093354,47.770351490424424
es-en,35.98561313413101,63.9828052013398
es-fi,19.249953907553543,55.10622958250278
es-fr,32.27095501551716,59.332394499285655
es-it,21.660032903042534,53.85323732576685
es-nl,23.118785048531883,54.706264382630444
es-pt,24.278693425396728,54.95131233330548
es-sv,27.2631326942067,57.60615907506518
fi-da,30.188756992018632,58.7703731783713
fi-de,29.98700198073562,58.98972516118708
fi-el,21.104690133841544,48.701959028868465
fi-en,39.66020392610423,65.79128347174819
fi-es,22.852030753218354,51.088287343369245
fi-fr,36.19627395759656,61.95497168548641
fi-it,25.794782435380856,55.60957421286633
fi-nl,25.18567210029468,56.261263883783855
fi-pt,32.26625014586176,59.12557684878939
fi-sv,27.622318479661505,58.49018865314737
fr-da,36.655552747390495,62.711961255080936
fr-de,34.8756386046337,61.800994471707696
fr-el,24.754356031918345,51.40761434992397
fr-en,49.69684195137147,71.9325374979775
fr-es,26.655845595873743,53.97745972256437
fr-fi,24.417396973606262,58.53399976637712
fr-it,26.51335023581287,57.15158776217238
fr-nl,26.660309194905114,57.44113270615443
fr-pt,39.96364410459078,64.39002754702625
fr-sv,35.29041917976486,62.58033086733189
it-da,29.48884624394942,58.38899786090125
it-de,31.180642369488954,59.41517304118958
it-el,21.10223576811498,48.97553197262121
it-en,39.20655472207818,66.2114377678922
it-es,22.636274325759338,51.64344553270919
it-fi,20.8523459871046,55.95349051116624
it-fr,33.3484651861848,60.851309795654764
it-nl,23.42643791616796,55.69146161726378
it-pt,29.244246831384935,58.41780829848493
it-sv,28.651398683750664,58.7823646553254
nl-da,28.519843379988064,57.57748926308045
nl-de,28.78649088615137,57.433125220178326
nl-el,18.98024781020064,46.76109458440212
nl-en,36.991055226406175,64.49189433367054
nl-es,23.375163756797072,50.610824518925234
nl-fi,18.381937288739827,54.698642853954205
nl-fr,33.13107483846575,59.75807929384214
nl-it,24.155952038457496,54.441140094087295
nl-pt,30.540324821309976,58.250315301476604
nl-sv,25.760948362720153,57.474439835303656
pt-da,39.132373778096586,64.40081713221859
pt-de,36.78797850777233,63.210753101869166
pt-el,24.175947844230834,50.96517348853381
pt-en,55.54505517939692,75.49218404018818
pt-es,25.341997983919256,52.836499056697626
pt-fi,24.432898465004083,58.613812260486306
pt-fr,44.783242636661626,67.61383176243217
pt-it,27.246518890152164,57.211822643960765
pt-nl,27.57662194131473,57.835122656105455
pt-sv,36.774190249967454,64.04761375547979
sv-da,40.109913552315945,65.20075115182561
sv-de,38.25017648663524,63.91886259252429
sv-el,24.861579230287965,51.54765873078573
sv-en,52.92581333409347,74.49479259298879
sv-es,26.284242565925275,53.243291535090044
sv-fi,24.520846401029857,59.512724823955665
sv-fr,41.69300461965706,65.33761183282698
sv-it,28.676571966487728,58.17024799451514
sv-nl,28.04079174376743,58.18079950584772
sv-pt,41.70502419329729,64.90154186902572
